date,time,site_status,form_status,signup_count_estimate,ig_account_live,notes
2026-06-22,09:48:48,200/200,200,,probably_live,autonomous_run
2026-06-22,09:50:33,200/200,200,not_yet,no,-,IG account not flagged active — touch /Users/jeremycochoy/Desktop/workspace/aoba/data/.ig_active to enable posting
2026-06-22,23:43:02,200/200,200,active,yes,ok,-
